r,-9032,-2576,12804,138,-27,-66
r,-9012,-4324,12784,150,194,29
r,-10484,-6128,12544,493,302,235
r,-4928,12744,8896,232,156,203
r,-6044,-15452,432,820,-542,-954
r,-6924,-364,14196,498,222,-69
r,-7000,524,14800,102,-159,77
r,-7388,11556,8676,66,-71,-305
r,-13268,560,9296,465,78,115
r,-13512,3316,8064,267,-54,23
r,3252,-8372,13948,528,622,-39
r,-1900,-1220,15908,214,249,-85
r,-9504,-3896,11828,210,279,-240
r,-10480,-5620,10976,136,221,164
r,-7668,832,13876,-17,173,212
r,-9388,-5420,12388,76,215,-7
r,-9304,-4752,12832,316,226,-76
r,-9292,-4684,11960,98,301,97
r,-8256,-3044,13756,76,-186,-19
r,-9708,-264,12736,103,351,126
r,-8676,-6516,12032,170,227,362
r,-7148,-6992,12488,-148,301,-120
r,-7348,-4944,13424,303,261,140
